epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,507.521,0.67511,0.75392,1.06404,0.95533,0.97453,0.98713,0.81038,0.77665,0.51031,1.15915,0.000280819,0.000280819,0.000280819
43,519.914,0.66583,0.74047,1.06335,0.94781,0.97178,0.98475,0.80224,0.77397,0.52756,1.1772,0.000278278,0.000278278,0.000278278
44,532.163,0.6542,0.73577,1.05663,0.94807,0.97077,0.97891,0.80918,0.75738,0.50913,1.16218,0.000275737,0.000275737,0.000275737
45,544.374,0.65958,0.75307,1.06585,0.96065,0.9491,0.98742,0.80717,0.78541,0.49705,1.16671,0.000273196,0.000273196,0.000273196
46,556.644,0.64313,0.7223,1.05767,0.95607,0.96004,0.98818,0.80535,0.79692,0.48744,1.19592,0.000270655,0.000270655,0.000270655
47,569.18,0.63444,0.7072,1.04736,0.96853,0.95333,0.98162,0.81068,0.78043,0.49077,1.18609,0.000268114,0.000268114,0.000268114
48,581.47,0.66074,0.69348,1.06193,0.94456,0.96027,0.98057,0.80554,0.7751,0.5094,1.15822,0.000265573,0.000265573,0.000265573
49,593.784,0.65341,0.71653,1.05218,0.92982,0.97584,0.98318,0.81072,0.75159,0.47089,1.16324,0.000263032,0.000263032,0.000263032
50,606.015,0.65746,0.69342,1.05419,0.96169,0.96709,0.98828,0.81348,0.74267,0.45748,1.13958,0.000260491,0.000260491,0.000260491
51,618.385,0.64514,0.70007,1.04318,0.95255,0.96979,0.98791,0.81673,0.74736,0.47526,1.15371,0.00025795,0.00025795,0.00025795
52,630.624,0.63332,0.67049,1.03977,0.9636,0.96535,0.98249,0.80701,0.76171,0.47817,1.14951,0.000255409,0.000255409,0.000255409
53,642.912,0.6293,0.66689,1.04118,0.95269,0.95223,0.98317,0.81365,0.75641,0.49641,1.14339,0.000252868,0.000252868,0.000252868
54,655.143,0.63928,0.66456,1.04856,0.95209,0.94747,0.97791,0.81783,0.73693,0.48587,1.1322,0.000250327,0.000250327,0.000250327
55,667.526,0.63061,0.67413,1.0382,0.96234,0.95744,0.9823,0.81923,0.75242,0.46388,1.14975,0.000247786,0.000247786,0.000247786
56,679.954,0.62948,0.66255,1.04849,0.93897,0.97603,0.989,0.81086,0.75413,0.45929,1.15041,0.000245245,0.000245245,0.000245245
57,692.265,0.62654,0.63584,1.041,0.96815,0.96192,0.98612,0.80509,0.78141,0.47297,1.18266,0.000242704,0.000242704,0.000242704
58,704.576,0.62659,0.66014,1.04571,0.96176,0.95902,0.98756,0.81593,0.73534,0.46087,1.13294,0.000240163,0.000240163,0.000240163
59,716.946,0.61867,0.6352,1.03394,0.97535,0.96067,0.99006,0.81875,0.73915,0.45327,1.13965,0.000237622,0.000237622,0.000237622
60,729.233,0.62158,0.63262,1.04054,0.94994,0.94803,0.98531,0.81485,0.76197,0.48444,1.17061,0.000235081,0.000235081,0.000235081
61,741.695,0.6332,0.62851,1.03624,0.95744,0.95566,0.98291,0.81867,0.7454,0.4375,1.15317,0.00023254,0.00023254,0.00023254
62,753.943,0.60616,0.61541,1.03244,0.96543,0.968,0.9839,0.81402,0.76184,0.41667,1.16547,0.000229999,0.000229999,0.000229999
63,766.299,0.60303,0.6077,1.03348,0.97461,0.96702,0.99093,0.81911,0.7384,0.41911,1.14781,0.000227458,0.000227458,0.000227458
64,778.542,0.60647,0.62416,1.02464,0.95923,0.97568,0.99087,0.81952,0.74195,0.43858,1.13867,0.000224917,0.000224917,0.000224917
65,790.817,0.60253,0.6098,1.03172,0.9685,0.97252,0.99183,0.81856,0.74823,0.44148,1.15813,0.000222376,0.000222376,0.000222376
66,803.056,0.60506,0.60944,1.02599,0.9684,0.96444,0.99126,0.82086,0.73883,0.42231,1.14553,0.000219835,0.000219835,0.000219835
67,815.235,0.59117,0.5977,1.02555,0.96525,0.96198,0.98829,0.81618,0.76392,0.42199,1.15081,0.000217294,0.000217294,0.000217294
68,827.55,0.60547,0.6017,1.02321,0.97552,0.97119,0.99223,0.81632,0.74925,0.42208,1.16046,0.000214753,0.000214753,0.000214753
69,839.728,0.5929,0.59232,1.02204,0.9744,0.97122,0.9908,0.81748,0.7431,0.41631,1.15036,0.000212212,0.000212212,0.000212212
70,851.872,0.58103,0.57713,1.01851,0.9594,0.97431,0.98503,0.81399,0.76761,0.41105,1.17942,0.000209671,0.000209671,0.000209671
71,864.21,0.57717,0.55242,1.01079,0.97922,0.9655,0.99026,0.82168,0.72711,0.4131,1.13308,0.00020713,0.00020713,0.00020713
72,876.446,0.5922,0.57426,1.02447,0.97569,0.96154,0.98421,0.81541,0.73587,0.42807,1.13957,0.000204589,0.000204589,0.000204589
73,888.706,0.5797,0.5687,1.01539,0.9696,0.96238,0.99056,0.81695,0.7373,0.4244,1.15541,0.000202048,0.000202048,0.000202048
74,900.942,0.58045,0.57745,1.01298,0.98011,0.95308,0.98828,0.81915,0.7199,0.4037,1.13068,0.000199507,0.000199507,0.000199507
75,913.126,0.57291,0.55342,1.00676,0.97604,0.95743,0.98964,0.81229,0.74864,0.42194,1.17303,0.000196966,0.000196966,0.000196966
76,925.335,0.57452,0.5499,1.01573,0.98301,0.96482,0.99053,0.81544,0.74119,0.40723,1.16105,0.000194425,0.000194425,0.000194425
77,937.578,0.5644,0.54441,1.00377,0.98426,0.958,0.98912,0.82193,0.72442,0.41652,1.15788,0.000191884,0.000191884,0.000191884
78,949.966,0.55925,0.54804,1.00169,0.95789,0.97484,0.99123,0.81805,0.74541,0.40588,1.15995,0.000189343,0.000189343,0.000189343
79,962.311,0.58287,0.56673,1.02149,0.98428,0.96563,0.99226,0.81685,0.73504,0.40023,1.15415,0.000186802,0.000186802,0.000186802
80,974.579,0.57018,0.55033,1.00793,0.97544,0.96204,0.98933,0.82851,0.72609,0.40054,1.13993,0.000184261,0.000184261,0.000184261
81,986.788,0.57167,0.55139,1.01543,0.97327,0.96329,0.99141,0.82247,0.73028,0.40421,1.14727,0.00018172,0.00018172,0.00018172
82,998.932,0.55733,0.52908,0.99592,0.96721,0.98013,0.99041,0.82039,0.73677,0.40196,1.16148,0.000179179,0.000179179,0.000179179
