epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,11453.7,0.68374,0.94473,1.09699,0.92785,0.85177,0.91874,0.76519,0.72083,0.94204,1.12534,0.000228729,0.000228729,0.000228729
43,11724.4,0.6737,0.88269,1.07067,0.92719,0.84945,0.91228,0.76861,0.71687,0.98219,1.12195,0.000224917,0.000224917,0.000224917
44,11996.5,0.66322,0.92172,1.05757,0.91378,0.86107,0.93172,0.77588,0.71495,0.89959,1.114,0.000221106,0.000221106,0.000221106
45,12266.8,0.67148,0.88857,1.06898,0.92825,0.8502,0.91475,0.75373,0.72654,0.96643,1.11117,0.000217294,0.000217294,0.000217294
46,12538.8,0.67272,0.86441,1.07814,0.93461,0.86387,0.92315,0.77947,0.69334,0.90548,1.10116,0.000213482,0.000213482,0.000213482
47,12808.8,0.65103,0.85028,1.05982,0.94271,0.86062,0.92338,0.77098,0.72436,0.92159,1.14628,0.000209671,0.000209671,0.000209671
48,13082.1,0.62832,0.87688,1.04089,0.92467,0.86427,0.91257,0.76276,0.73259,0.96677,1.13555,0.00020586,0.00020586,0.00020586
49,13354.8,0.64505,0.80437,1.06392,0.92144,0.86621,0.92828,0.78318,0.70037,0.8694,1.10579,0.000202048,0.000202048,0.000202048
50,13640.1,0.63645,0.82192,1.04461,0.93928,0.85612,0.91985,0.77253,0.70772,0.92076,1.12301,0.000198236,0.000198236,0.000198236
51,13914.8,0.6467,0.85839,1.05687,0.93472,0.87161,0.9307,0.76633,0.75962,0.88566,1.16607,0.000194425,0.000194425,0.000194425
52,14186.7,0.64895,0.82992,1.06704,0.93417,0.86095,0.92006,0.76494,0.72451,0.9211,1.10764,0.000190613,0.000190613,0.000190613
53,14457.6,0.64006,0.80013,1.05792,0.92956,0.87147,0.92728,0.77525,0.70985,0.86228,1.11666,0.000186802,0.000186802,0.000186802
54,14729,0.64763,0.82017,1.05833,0.93107,0.8611,0.9262,0.77513,0.7373,0.91357,1.13125,0.00018299,0.00018299,0.00018299
55,14999.6,0.63534,0.77709,1.05411,0.94353,0.87991,0.92949,0.77024,0.70398,0.8709,1.12664,0.000179179,0.000179179,0.000179179
56,15270.1,0.62669,0.78851,1.04587,0.94199,0.86595,0.92507,0.77935,0.7094,0.85539,1.10735,0.000175367,0.000175367,0.000175367
57,15542.4,0.61692,0.75228,1.04657,0.96158,0.86869,0.92941,0.78583,0.68771,0.85635,1.09909,0.000171556,0.000171556,0.000171556
58,15814.3,0.6358,0.7509,1.05953,0.95538,0.87371,0.93754,0.7899,0.70017,0.80885,1.10801,0.000167745,0.000167745,0.000167745
59,16084.8,0.62987,0.76417,1.07364,0.94996,0.87083,0.93538,0.78801,0.67399,0.82972,1.09104,0.000163933,0.000163933,0.000163933
60,16356.5,0.61499,0.72701,1.04149,0.95014,0.86792,0.92624,0.77842,0.67642,0.83886,1.08586,0.000160122,0.000160122,0.000160122
61,16628,0.60697,0.73396,1.0451,0.93657,0.86547,0.92085,0.77586,0.69849,0.88539,1.10711,0.00015631,0.00015631,0.00015631
62,16898.4,0.61703,0.69446,1.04715,0.95683,0.86887,0.91155,0.7692,0.69001,0.91412,1.10563,0.000152498,0.000152498,0.000152498
63,17170.9,0.6052,0.71781,1.03751,0.94246,0.86817,0.9245,0.77285,0.70859,0.86108,1.10113,0.000148687,0.000148687,0.000148687
64,17441.4,0.6242,0.70423,1.03472,0.95191,0.86972,0.93616,0.78793,0.71805,0.80676,1.1238,0.000144875,0.000144875,0.000144875
65,17711.6,0.59083,0.6713,1.03214,0.94959,0.8671,0.9315,0.79586,0.65176,0.82566,1.06892,0.000141064,0.000141064,0.000141064
66,17981.7,0.61263,0.74175,1.04891,0.93956,0.87165,0.91599,0.77109,0.71731,0.87182,1.13676,0.000137252,0.000137252,0.000137252
67,18251.7,0.59009,0.68198,1.03249,0.93812,0.86179,0.90387,0.76897,0.70025,0.90045,1.11666,0.000133441,0.000133441,0.000133441
68,18521.8,0.61203,0.70975,1.03585,0.93867,0.86966,0.90244,0.76335,0.68118,0.90383,1.09181,0.000129629,0.000129629,0.000129629
69,18792.8,0.61272,0.66813,1.07294,0.94282,0.86718,0.92199,0.78068,0.6908,0.85533,1.10371,0.000125818,0.000125818,0.000125818
70,19063.4,0.58782,0.66128,1.04075,0.9389,0.87343,0.93018,0.7831,0.69955,0.79744,1.11281,0.000122007,0.000122007,0.000122007
71,19334.1,0.60121,0.67482,1.03049,0.93203,0.87617,0.91398,0.78052,0.69324,0.85702,1.11246,0.000118195,0.000118195,0.000118195
72,19603.6,0.57374,0.65084,1.02714,0.95243,0.86183,0.91842,0.77892,0.70236,0.83215,1.11542,0.000114384,0.000114384,0.000114384
73,19873.5,0.58847,0.6606,1.03945,0.94761,0.87205,0.92748,0.78075,0.70489,0.81077,1.12772,0.000110572,0.000110572,0.000110572
74,20143.7,0.5617,0.61874,1.01088,0.94298,0.87588,0.91958,0.78003,0.68872,0.82394,1.10532,0.000106761,0.000106761,0.000106761
75,20413.9,0.61026,0.65691,1.03616,0.93814,0.87056,0.91754,0.78106,0.66806,0.84958,1.09519,0.000102949,0.000102949,0.000102949
76,20684.6,0.57645,0.62501,1.02178,0.94254,0.87493,0.92595,0.78169,0.67932,0.81828,1.10339,9.91375e-05,9.91375e-05,9.91375e-05
77,20955.1,0.57843,0.67249,1.04132,0.94546,0.86869,0.9261,0.78309,0.69376,0.81938,1.11884,9.5326e-05,9.5326e-05,9.5326e-05
78,21226,0.5606,0.62089,1.01461,0.95551,0.87043,0.93821,0.79049,0.69919,0.77515,1.11993,9.15145e-05,9.15145e-05,9.15145e-05
79,21496.3,0.56716,0.64529,1.02512,0.9582,0.86962,0.93801,0.79646,0.6833,0.75355,1.10934,8.7703e-05,8.7703e-05,8.7703e-05
80,21766.7,0.54624,0.59426,1.01686,0.95283,0.86835,0.93244,0.79099,0.68686,0.7712,1.10451,8.38915e-05,8.38915e-05,8.38915e-05
