epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1610.12,0.64114,0.58827,1.10344,0.95727,0.98318,0.98645,0.80698,0.7636,0.42342,1.24535,0.000280819,0.000280819,0.000280819
43,1648.32,0.63271,0.58109,1.10041,0.94925,0.97268,0.98759,0.81828,0.75461,0.40297,1.2411,0.000278278,0.000278278,0.000278278
44,1686.49,0.62082,0.58889,1.08749,0.96042,0.95946,0.98616,0.81327,0.74314,0.42111,1.21482,0.000275737,0.000275737,0.000275737
45,1724.72,0.61511,0.57958,1.09189,0.97578,0.96556,0.99078,0.819,0.75713,0.38975,1.23908,0.000273196,0.000273196,0.000273196
46,1763.12,0.6074,0.55539,1.08591,0.96994,0.96016,0.98735,0.80794,0.75653,0.40161,1.25377,0.000270655,0.000270655,0.000270655
47,1801.35,0.60504,0.55444,1.0777,0.96693,0.96352,0.98962,0.81048,0.76942,0.38518,1.26326,0.000268114,0.000268114,0.000268114
48,1839.58,0.62326,0.55879,1.09192,0.95985,0.96149,0.98551,0.81428,0.75986,0.40106,1.22783,0.000265573,0.000265573,0.000265573
49,1877.77,0.59768,0.58078,1.0755,0.96486,0.97209,0.99256,0.81958,0.77214,0.39921,1.2787,0.000263032,0.000263032,0.000263032
50,1916.07,0.60694,0.5549,1.08234,0.96656,0.96938,0.99076,0.81872,0.74648,0.37997,1.22947,0.000260491,0.000260491,0.000260491
51,1954.26,0.59511,0.52909,1.06741,0.96846,0.96284,0.98488,0.81299,0.74555,0.37928,1.23829,0.00025795,0.00025795,0.00025795
52,1992.5,0.58921,0.51849,1.06835,0.97482,0.97403,0.988,0.82124,0.74438,0.39677,1.24722,0.000255409,0.000255409,0.000255409
53,2030.8,0.58137,0.50973,1.06283,0.95538,0.97819,0.9898,0.82196,0.73182,0.374,1.2077,0.000252868,0.000252868,0.000252868
54,2069.12,0.58931,0.51854,1.06631,0.97344,0.97392,0.9907,0.81041,0.77082,0.36866,1.24462,0.000250327,0.000250327,0.000250327
55,2107.37,0.58891,0.54479,1.07248,0.96362,0.97878,0.98865,0.81474,0.75377,0.3732,1.23792,0.000247786,0.000247786,0.000247786
56,2145.56,0.58602,0.52234,1.07309,0.96859,0.96566,0.99129,0.8163,0.76127,0.37058,1.23687,0.000245245,0.000245245,0.000245245
57,2183.74,0.5797,0.50144,1.06645,0.9797,0.96591,0.98818,0.82084,0.75514,0.37163,1.23789,0.000242704,0.000242704,0.000242704
58,2221.85,0.56561,0.52775,1.05625,0.97401,0.96089,0.99092,0.82677,0.73659,0.35588,1.233,0.000240163,0.000240163,0.000240163
59,2260.12,0.55706,0.48594,1.04443,0.97017,0.9665,0.98942,0.81617,0.73828,0.36792,1.2363,0.000237622,0.000237622,0.000237622
60,2298.29,0.57037,0.50128,1.05592,0.97026,0.95828,0.99067,0.81689,0.75836,0.3657,1.25259,0.000235081,0.000235081,0.000235081
61,2336.46,0.58208,0.50103,1.05377,0.96829,0.96205,0.9842,0.81023,0.74786,0.38148,1.24809,0.00023254,0.00023254,0.00023254
62,2374.63,0.56088,0.48516,1.05464,0.97297,0.97892,0.98884,0.82026,0.75308,0.34406,1.22876,0.000229999,0.000229999,0.000229999
63,2412.76,0.55686,0.48758,1.04757,0.977,0.97332,0.98912,0.82116,0.76205,0.35175,1.25169,0.000227458,0.000227458,0.000227458
64,2451,0.55532,0.47585,1.03562,0.98275,0.98604,0.99366,0.83556,0.73325,0.31406,1.21838,0.000224917,0.000224917,0.000224917
65,2489.34,0.54767,0.45996,1.03869,0.97708,0.98542,0.99373,0.82711,0.73521,0.3181,1.23647,0.000222376,0.000222376,0.000222376
66,2527.56,0.53658,0.46883,1.02977,0.98164,0.97354,0.99251,0.82596,0.74091,0.33238,1.24333,0.000219835,0.000219835,0.000219835
67,2565.7,0.53519,0.47589,1.03068,0.98418,0.97845,0.99457,0.83086,0.73648,0.31946,1.23284,0.000217294,0.000217294,0.000217294
68,2603.93,0.54109,0.45918,1.03664,0.9772,0.98893,0.99187,0.82633,0.72941,0.32598,1.21549,0.000214753,0.000214753,0.000214753
69,2642.4,0.52031,0.44366,1.02139,0.97766,0.97533,0.98705,0.82271,0.73176,0.34039,1.23609,0.000212212,0.000212212,0.000212212
70,2680.73,0.5236,0.44236,1.02586,0.98204,0.98737,0.99403,0.82399,0.7386,0.3164,1.22588,0.000209671,0.000209671,0.000209671
71,2719.03,0.51938,0.4377,1.01439,0.97947,0.96972,0.98801,0.81967,0.72969,0.33252,1.22814,0.00020713,0.00020713,0.00020713
72,2757.29,0.52586,0.44421,1.02826,0.98137,0.97237,0.98943,0.82151,0.73271,0.34306,1.22675,0.000204589,0.000204589,0.000204589
73,2795.67,0.52165,0.43983,1.02961,0.98338,0.98086,0.99125,0.82991,0.74564,0.33664,1.24807,0.000202048,0.000202048,0.000202048
74,2834.02,0.51927,0.45879,1.01818,0.97463,0.97391,0.98949,0.82128,0.72991,0.33121,1.21477,0.000199507,0.000199507,0.000199507
75,2872.57,0.51149,0.44733,1.00872,0.97693,0.97882,0.99245,0.82094,0.72128,0.33297,1.20686,0.000196966,0.000196966,0.000196966
76,2910.75,0.5075,0.42023,1.00992,0.97848,0.97762,0.98903,0.81968,0.73244,0.34253,1.24171,0.000194425,0.000194425,0.000194425
